Year	Norway	Russia	OtherNations	Total	data_note
1908	NA	NA	NA	650	Final data
1909	NA	NA	NA	1000	Final data
1910	NA	NA	NA	1030	Final data
1911	NA	NA	NA	1010	Final data
1912	NA	NA	NA	1010	Final data
1913	NA	NA	NA	810	Final data
1914	NA	NA	NA	1140	Final data
1915	NA	NA	NA	1310	Final data
1916	NA	NA	NA	1460	Final data
1917	NA	NA	NA	1160	Final data
1918	NA	NA	NA	1110	Final data
1919	NA	NA	NA	1510	Final data
1920	NA	NA	NA	1170	Final data
1921	NA	NA	NA	1830	Final data
1922	NA	NA	NA	1470	Final data
1923	NA	NA	NA	1940	Final data
1924	NA	NA	NA	2210	Final data
1925	NA	NA	NA	2720	Final data
1926	NA	NA	NA	3190	Final data
1927	NA	NA	NA	4470	Final data
1928	NA	NA	NA	1950	Final data
1929	NA	NA	NA	5280	Final data
1930	NA	NA	NA	5290	Final data
1931	NA	NA	NA	5880	Final data
1932	NA	NA	NA	6100	Final data
1933	NA	NA	NA	9590	Final data
1934	NA	NA	NA	15860	Final data
1935	NA	NA	NA	17690	Final data
1936	NA	NA	NA	21030	Final data
1937	NA	NA	NA	34590	Final data
1938	NA	NA	NA	39170	Final data
1939	NA	NA	NA	21870	Final data
1940	NA	NA	NA	2290	Final data
1941	NA	NA	NA	1680	Final data
1942	NA	NA	NA	1430	Final data
1943	NA	NA	NA	1020	Final data
1944	NA	NA	NA	920	Final data
1945	NA	NA	NA	560	Final data
1946	NA	NA	NA	3570	Final data
1947	NA	NA	NA	14880	Final data
1948	NA	NA	NA	20000	Final data
1949	NA	NA	NA	22360	Final data
1950	NA	NA	NA	25560	Final data
1951	NA	NA	NA	45300	Final data
1952	NA	NA	NA	56170	Final data
1953	NA	NA	NA	34830	Final data
1954	NA	NA	NA	35780	Final data
1955	NA	NA	NA	35470	Final data
1956	NA	NA	NA	43380	Final data
1957	NA	NA	NA	51610	Final data
1958	NA	NA	NA	33120	Final data
1959	NA	NA	NA	28070	Final data
1960	NA	NA	NA	31770	Final data
1961	NA	NA	NA	26730	Final data
1962	NA	NA	NA	22820	Final data
1963	NA	NA	NA	28100	Final data
1964	NA	NA	NA	26550	Final data
1965	NA	NA	NA	24310	Final data
1966	NA	NA	NA	25630	Final data
1967	NA	NA	NA	17730	Final data
1968	NA	NA	NA	13350	Final data
1969	NA	NA	NA	24070	Final data
1970	NA	NA	NA	12820	Final data
1971	NA	NA	NA	13820	Final data
1972	NA	NA	NA	17730	Final data
1973	NA	NA	NA	21440	Final data
1974	NA	NA	NA	27270	Final data
1975	NA	NA	NA	39130	Final data
1976	NA	NA	NA	48580	Final data
1977	NA	NA	NA	39510	Final data
1978	NA	NA	NA	31740	Final data
1979	NA	NA	NA	26480	Final data
1980	NA	NA	NA	23410	Final data
1981	NA	NA	NA	20830	Final data
1982	NA	NA	NA	16370	Final data
1983	NA	NA	NA	19260	Final data
1984	NA	NA	NA	28380	Final data
1985	NA	NA	NA	29480	Final data
1986	NA	NA	NA	30200	Final data
1987	NA	NA	NA	24080	Final data
1988	NA	NA	NA	25910	Final data
1989	20662	1264	1308	23234	Final data
1990	23917	1549	2606	28072	Final data
1991	15872	1052	2117	19041	Final data
1992	12700	758	2727	16185	Final data
1993	13137	1313	2201	16651	Final data
1994	14955	1199	1966	18120	Final data
1995	13516	639	1461	15616	Final data
1996	15601	716	1705	18022	Final data
1997	14182	1584	1745	17511	Final data
1998	16540	1632	983	19155	Final data
1999	16750	1691	545	18986	Final data
2000	13031	1112	317	14460	Final data
2001	9134	963	450	10547	Final data
2002	8561	832	250	9643	Final data
2003	6853	479	508	7840	Final data
2004	6233	722	251	7206	Final data
2005	6085	614	337	7036	Final data
2006	6305	713	370	7388	Final data
2007	5784	890	698	7372	Final data
2008	5216	749	634	6599	Final data
2009	5451	698	338	6487	Final data
2010	5994	565	423	6982	Final data
2011	4681	919	252	5852	Final data
2012	4247	681	589	5517	Final data
2013	3836	797	1040	5673	Final data
2014	3440	806	579	4825	Final data
2015	2777	664	476	3917	Final data
2016	4132	864	468	5464	Final data
2017	3567	1297	608	5472	Final data
2018	4961	1834	546	7341	Final data
2019	5951	1929	679	8559	Final data
2020	6503	2615	521	9639	Final data
2021	7703	1737	755	10195	Final data
2022	7553	2540	857	10950	Final data
2023	7670	2272	826	10768	Final data
2024	7629	2069	682	10380	Final data
2025	8618	2069	748	11435	Previous year's data for Russia
